Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;0;0;0;0;0;162261.2359;181591.9014;202449.9804;224939.8875;249172.6603;275266.3607;302368.4197;331492.5187;362773.1065;396353.0218;432383.9959;471027.1848;512453.7326;556845.3672;604395.031;655307.5478
Österreich;Geothermal;0;0;0;0;0;17880.61855;20383.90515;23092.81886;26021.66418;29185.66198;32601.00541;36969.54013;41693.42582;46797.27622;52307.2781;58251.28697;64658.92854;71561.70604;78993.11398;86988.75844;95586.48457
Österreich;Hydro;7297542.118;8295268.709;9374524.103;10540966.87;11800617.59;13159880.98;14727656.89;16419310.69;18243310.73;20208662.49;22324941.16;24523000.78;26885054;29422005.05;32145438.57;35067660.43;38201740.87;41561560.21;45161857.13;49018279.85;53147440.19
Österreich;Other RES;0;0;0;0;0;20434.99263;26820.92783;33794.36907;41398.10211;49677.72253;58681.80974;79073.73862;101358.1559;125673.3305;152166.6272;180995.0702;212325.941;246337.4112;283219.2135;323173.3526;366414.8575
Österreich;Solar;0;0;0;0;0;725442.2385;847541.3194;980036.7029;1123662.771;1279201.355;1447484.64;1571890.077;1705117.345;1847737.616;2000357.12;2163619.23;2338206.659;2524843.782;2724299.102;2937387.843;3164974.711
Österreich;Wind;256989.6837;292125.5468;330132.5221;371209.8809;415569.6444;463437.3595;518648.0358;578221.1863;642455.0318;711666.7089;786193.4161;863600.1151;946782.0004;1036123.074;1132031.3;1234940.041;1345309.578;1463628.718;1590416.498;1726223.985;1871636.179
Belgien;Biomass;4730094.401;5376797.206;6076345.056;6832405.697;7648881.541;8529923.954;9546119.262;10642609.29;11824883.02;12227494.14;12864737.13;13458445.69;14052154.26;14645862.82;15239571.39;15833279.95;16426988.52;17020697.08;17614405.65;18208114.21;18801822.78
Belgien;Geothermal;0;0;0;0;0;20916.29024;23844.57087;27013.38884;30439.47718;34140.64089;38135.82227;43246.02245;48771.9031;54742.25675;61187.71601;68140.86556;75636.36077;83711.05334;92404.12427;101757.2246;111814.6248
Belgien;Hydro;776884.0449;883100.3376;997996.0494;1122173.582;1256273.877;1400978.768;1567881.551;1747972.166;1942152.138;2151380.178;2376675.641;2610677.366;2862137.575;3132217.111;3422149.257;3733244.075;4066893.002;4424573.711;4807855.258;5218403.526;5657986.983
Belgien;Other RES;0;0;0;0;0;23904.3317;31374.43536;39531.78855;48426.44097;58111.72917;68644.48008;92498.43691;118566.1782;147009.4476;178000.6284;211723.4037;248373.455;288159.2029;331302.5919;378039.9218;428622.7282
Belgien;Solar;844917.6141;960435.5181;1085392.919;1220444.97;1366288.745;1523665.784;1705184.638;1901046.213;2112230.984;2339781.617;2584806.735;2839300.544;3112781.717;3406512.755;3721834.944;4060173.069;4423040.419;4812044.072;5228890.489;5675391.438;6153470.255
Belgien;Wind;15968398.28;18151612.21;19421865.3;20798540.34;22175215.37;23551890.41;25102568.98;26653247.56;28203926.13;29754604.7;31305283.28;32750024.4;34194765.53;35639506.66;37084247.78;38528988.91;39973730.04;41418471.16;42863212.29;44307953.41;45752694.54
Kroatien;Biomass;8530.897175;9697.24919;10958.90916;12322.49201;13795.03587;15384.02789;17216.77306;19194.33268;21326.60633;23624.12152;26098.0717;28667.62461;31428.88764;34394.6079;37578.32797;40994.43353;44658.20382;48585.86506;52794.64691;57302.84229;62129.87058
Kroatien;Geothermal;0;0;0;0;0;2523.54797;2824.185774;3148.578489;3498.35001;3875.227238;4281.046313;4702.547761;5155.496738;5641.984244;6164.231758;6724.599063;7325.592519;7969.873823;8660.269276;9399.779589;10191.59026
Kroatien;Hydro;3396238.605;3860575.433;4362855.348;4905711.816;5004345.144;5315023.391;5664969.52;6014915.65;6364861.779;6714807.908;7064754.038;7390792.956;7716831.875;8042870.793;8368909.712;8694948.631;9020987.549;9347026.468;9673065.386;9999104.305;10325143.22
Kroatien;Other RES;0;0;0;0;0;3653.368901;4795.046682;6041.75882;7401.154554;8881.385465;10491.13658;14136.80654;18120.81566;22467.88367;27204.35644;32358.30679;37959.64127;44040.21344;50633.94372;57776.94649;65507.66469
Kroatien;Solar;0;0;0;0;0;5600.820125;6268.062549;6988.027165;7764.318085;8600.76803;9501.452175;10436.94214;11442.22746;12521.94897;13681.03705;14924.72908;16258.58771;17688.52038;19220.79985;20862.08597;22619.4487
Kroatien;Wind;436622.3125;496317.7119;560891.0955;630681.0231;706047.7157;787374.375;881176.6352;982390.6854;1091523.199;1209112.987;1335732.946;1467245.976;1608570.976;1760360.362;1808886.682;1879357.924;1949829.165;2020300.407;2090771.648;2161242.89;2231714.131
Zypern;Biomass;0;0;0;0;0;17312.02088;19374.45361;21599.84957;23999.34899;26584.79872;29368.79506;32260.37547;35367.69193;38705.0891;42287.80676;46132.03346;50254.96331;54674.85606;59411.10068;64484.28262;69916.25501
Zypern;Geothermal;0;0;0;0;0;1242.436771;1416.377919;1604.607089;1808.118232;2027.968972;2265.28449;2568.832612;2897.072334;3251.713947;3634.577041;4047.59716;4492.832847;4972.473111;5488.845318;6044.423564;6641.837521
Zypern;Hydro;0;0;0;0;0;66559.11271;70557.9842;74790.34506;79269.54705;84009.69337;89025.68045;93952.67422;99149.80316;104631.7633;110414.045;116512.9754;122945.7637;129730.5485;136886.4473;144433.6096;152393.272
Zypern;Other RES;0;0;0;0;0;1419.927738;1863.655156;2348.205497;2876.551733;3451.86208;4077.512082;5494.44753;7042.882743;8732.425359;10573.31503;12576.4626;14753.49165;17116.78244;19679.51858;22455.73638;25460.37716
Zypern;Solar;0;0;0;0;0;89949.28286;100665.2095;112227.8556;124695.1032;138128.506;152593.5113;167617.4988;183762.4012;201102.75;219717.7278;239691.4465;261113.2427;284077.9899;308686.4288;335045.5165;363268.797
Zypern;Wind;1217533.77;1264286.605;1360739.554;1457192.503;1553645.451;1650098.4;1758742.428;1867386.455;1976030.483;2084674.511;2193318.538;2294540.35;2395762.162;2496983.974;2598205.786;2699427.598;2800649.41;2901871.221;3003093.033;3104314.845;3205536.657
Tschechien;Biomass;6293255.811;7153675.465;8084403.945;9090321.084;10176618.93;11348820.75;12700839.65;14159688.39;15732669.9;17427550.34;19252587.16;21148150.24;23185138.17;23947273.39;24918039.1;25888804.8;26859570.5;27830336.21;28801101.91;29771867.61;30742633.32
Tschechien;Geothermal;0;0;0;0;0;20928.43277;23858.41336;27029.07093;30457.14822;34160.46056;38157.96126;43271.12807;48800.21665;54774.03628;61223.23732;68180.42338;75680.26996;83759.65013;92457.76764;101816.2978;111879.5365
Tschechien;Hydro;6662128.104;7572980.313;8558262.423;9623140.292;10773110.29;12014019.44;13445285.45;14989643.01;16654823.11;18449047.11;20381056.46;22387725.9;24544109.64;26860162.44;29346460.25;32014237.43;32056109.57;33214689.96;34373270.35;35531850.75;36690431.14
Tschechien;Other RES;0;0;0;0;0;23918.20888;31392.64916;39554.73794;48454.55398;58145.46478;68684.33027;92552.13503;118635.0095;147094.791;178103.9631;211846.3155;248517.6432;288326.4879;331494.923;378259.3854;428871.5566
Tschechien;Solar;2191848.732;2491520.283;2815679.367;3166025.558;3544367.171;3952627.88;4423516.241;4931611.868;5479458.267;6069760.276;6705393.841;7365590.673;8075043.703;8837028.06;9655023.244;10532725.38;11474060.16;12483196.61;13564561.56;14722855.01;14708600.31
