Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;0;0;0;0;0;150520.0383;165087.5855;180735.5873;197535.6704;215563.9227;234901.1612;253095.8761;272522.8097;293259.6969;315388.9658;338998.0123;364179.4911;391031.6227;419658.5188;450170.5254;482684.5863
Österreich;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Österreich;Hydro;7173190.388;8034130.074;8963230.753;9965156.175;11044866.06;12207634.05;13389106.54;14658207.2;16020745.16;17482891.4;19051200.4;20526847.26;22102430.8;23784255.58;25579006.76;27493772.42;29536067.13;31713856.88;34035585.43;36510202.2;39147191.68
Österreich;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Österreich;Solar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Österreich;Wind;252610.5227;282929.3087;315648.447;350932.1758;388955.1564;429903.1047;471509.7495;516202.301;564185.3333;615676.1631;670905.6126;722871.8792;778357.5084;837584.5209;900788.3409;968218.5816;1040139.875;1116832.752;1198594.567;1285740.481;1378604.501
Belgien;Biomass;4649492.546;5207533.312;5809754.423;6459178.811;7159021.253;7912699.991;8678502.551;9501103.617;10384268.53;10578233.58;10978245.51;11265320.33;11552395.14;11839469.95;12126544.76;12413619.57;12700694.38;12987769.19;13274844;13561918.81;13848993.62
Belgien;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgien;Hydro;763645.7691;855299.9583;954210.452;1060873.745;1175817.842;1299604.163;1425381.735;1560488.055;1705541.551;1861199.177;2028158.712;2185253.592;2352987.563;2532031.797;2723097.985;2926940.713;3144359.968;3376203.797;3623371.11;3886814.643;4167544.103
Belgien;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgien;Solar;830520.0311;930200.594;1037772.913;1153776.963;1278786.985;1413413.567;1550205.778;1697143.676;1854899.85;2024188.782;2205769.357;2376621.406;2559044.236;2753767.796;2961566.101;3183259.818;3419718.991;3671865.931;3940678.268;4227192.174;4532505.775
Belgien;Wind;15696293.24;17580191.63;18569759.75;19662399.6;20755039.45;21847679.31;22821075.56;23794471.81;24767868.07;25741264.32;26714660.57;27413233.59;28111806.61;28810379.63;29508952.65;30207525.67;30906098.7;31604671.72;32303244.74;33001817.76;33700390.78
Kroatien;Biomass;8385.528802;9391.975605;10478.10327;11649.36376;12911.55504;14270.84204;15651.99479;17135.58571;18728.40573;20437.6688;22271.03716;23996.08258;25837.95495;27804.02435;29902.1058;32140.48534;34527.94757;37073.80481;39787.9279;42680.77879;45763.44494
Kroatien;Geothermal;0;0;0;0;0;2340.944434;2567.504425;2810.868054;3072.149285;3352.531469;3653.271498;3936.242571;4238.377572;4560.885466;4905.048207;5272.225007;5663.856867;6081.471351;6526.687641;7001.221881;7506.892827
Kroatien;Hydro;3338365.948;3739042.855;4171441.537;4637732.48;4683849.926;4930429.13;5150098.284;5369767.439;5589436.593;5809105.748;6028774.902;6186423.901;6344072.9;6501721.899;6659370.898;6817019.897;6974668.896;7132317.894;7289966.893;7447615.892;7605264.891
Kroatien;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kroatien;Solar;0;0;0;0;0;5195.545657;5698.378087;6238.504896;6818.398441;7440.685077;8108.154382;8736.186857;9406.752194;10122.5336;10886.37626;11701.29686;12570.49357;13497.35671;14485.47994;15538.67209;16660.96976
Kroatien;Wind;429182.1718;480693.4164;536282.83;596229.4514;660830.0279;730400.0884;801089.2664;877021.3618;958543.9437;1046026.23;1139860.386;1228150.434;1322419.836;1423045.802;1439380.725;1473455.555;1507530.385;1541605.215;1575680.044;1609754.874;1643829.704
Zypern;Biomass;0;0;0;0;0;16059.32576;17613.57055;19283.09151;21075.53064;22999.00596;25062.13997;27003.37556;29076.07935;31288.54508;33649.56719;36168.47014;38855.13948;41720.05457;44774.32332;48029.71881;51498.71803
Zypern;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zypern;Hydro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zypern;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zypern;Solar;0;0;0;0;0;83440.56683;91516.06568;100190.513;109503.6149;119497.5507;130217.121;140303.3351;151072.6277;162568.0914;174835.4198;187923.0608;201882.3773;216767.8179;232637.0966;249551.3836;267575.5065
Zypern;Wind;1196786.726;1224486.318;1301039.123;1377591.928;1454144.733;1530697.538;1598895.868;1667094.198;1735292.529;1803490.859;1871689.189;1920632.786;1969576.382;2018519.979;2067463.575;2116407.172;2165350.769;2214294.365;2263237.962;2312181.559;2361125.155
Tschechien;Biomass;6186017.341;6928474.678;7729712.704;8593753.347;9524873.773;10527621.86;11546500.34;12640947.62;13815973.37;15076899.33;16429377.96;17701946.59;19060698.63;19358574.3;19827966.86;20297359.41;20766751.97;21236144.52;21705537.08;22174929.63;22644322.19
Tschechien;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
