Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;0.0;0.0;0.0;0.0;0.0;30104.00765595466;33017.517096838776;36147.1174626714;39507.13407234519;43112.784549329685;46980.23223883176;50619.175227330925;54504.561934082936;58651.939373441826;63077.79315190139;67799.60245977329;72835.89821555266;78206.3245407605;83931.70375295026;90034.10507500709;96536.91726988721
Österreich;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Hydro;1434638.0775127437;1606826.0148184665;1792646.1506609803;1993031.2350506987;2208973.212502737;2441526.8096123524;2677821.308712713;2931641.4406990786;3204149.0326123;3496578.2801150945;3810240.0797866383;4105369.4514839053;4420486.160151432;4756851.116057003;5115801.352152751;5498754.484067932;5907213.425794248;6342771.375483028;6807117.086576199;7302040.44033998;7829438.336763698
Österreich;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Solar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Wind;50522.10454113987;56585.8617393073;63129.689395938614;70186.4351638848;77791.03128513573;85980.62093060208;94301.94989375211;103240.46020089068;112837.0666640087;123135.2326229363;134181.12251109668;144574.37583663288;155671.50168844505;167516.9041858468;180157.6681787676;193643.7163105159;208027.97508499207;223366.5504461396;239718.91340568938;257148.0962850788;275720.900168893
Belgien;Biomass;929898.5092942909;1041506.6624088723;1161950.8845616756;1291835.7622737375;1431804.250545601;1582539.998238967;1735700.5102259454;1900220.7234160246;2076853.7066495465;2115646.7160244626;2195649.1028763955;2253064.065049313;2310479.02722223;2367893.989395147;2425308.9515680643;2482723.9137409814;2540138.875913899;2597553.838086816;2654968.8002597336;2712383.7624326507;2769798.7246055678
Belgien;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Hydro;152729.1538126195;171059.99165503684;190842.09039716434;212174.74903436707;235163.5683092971;259920.83263913423;285076.3470952562;312097.6109153926;341108.3102498044;372239.83549036895;405631.74247936544;437050.7183946852;470597.5125453387;506406.3593150707;544619.5969804126;585388.1425140011;628871.9936084973;675240.759456158;724674.2219045635;777362.9286991694;833508.8206184744
Belgien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
