Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;0.0;0.0;0.0;0.0;0.0;752600.1913988666;825437.9274209691;903677.9365667849;987678.3518086296;1077819.6137332418;1174505.8059707943;1265479.3806832733;1362614.0483520734;1466298.4843360456;1576944.8287975343;1694990.0614943325;1820897.4553888163;1955158.1135190127;2098292.5938237556;2250852.6268751766;2413422.93174718
Österreich;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Hydro;35865951.937818594;40170650.370461665;44816153.76652451;49825780.87626747;55224330.31256842;61038170.24030881;66945532.71781781;73291036.01747698;80103725.8153075;87414457.00287735;95256001.99466595;102634236.28709762;110512154.00378579;118921277.90142506;127895033.80381878;137468862.10169828;147680335.6448562;158569284.38707566;170177927.16440496;182551011.00849947;195735958.41909245
Österreich;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Solar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Wind;1263052.6135284968;1414646.5434826824;1578242.2348984652;1754660.8790971197;1944775.7821283934;2149515.5232650517;2357548.747343803;2581011.505022267;2820926.6666002176;3078380.815573408;3354528.0627774163;3614359.3959158226;3891787.5422111256;4187922.60464617;4503941.70446919;4841092.907762897;5200699.377124801;5584163.761153489;5992972.835142233;6428702.40712697;6893022.504222324
Belgien;Biomass;23247462.732357275;26037666.560221806;29048772.114041887;32295894.056843434;35795106.263640024;39563499.95597417;43392512.755648635;47505518.08540062;51921342.66623867;52891167.90061156;54891227.57190988;56326601.62623281;57761975.68055574;59197349.734878674;60632723.78920161;62068097.84352453;63503471.89784747;64938845.952170394;66374220.00649333;67809594.06081626;69244968.11513919
Belgien;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Hydro;3818228.845315487;4276499.791375922;4771052.259929109;5304368.725859176;5879089.207732426;6498020.815978356;7126908.677381406;7802440.272884814;8527707.756245108;9305995.887259223;10140793.561984133;10926267.95986713;11764937.813633466;12660158.982876766;13615489.924510313;14634703.562850025;15721799.840212429;16881018.98640395;18116855.547614086;19434073.217479233;20837720.515461862
Belgien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Solar;4152600.155636256;4651002.969880589;5188864.565160263;5768884.812543206;6393934.923251541;7067067.832999352;7751028.888488228;8485718.379943496;9274499.248323068;10120943.907590738;11028846.784664366;11883107.029148933;12795221.181120291;13768838.980715912;14807830.507318296;15916299.089129128;17098594.952852752;18359329.65522591;19703391.34045425;21135960.87006736;22662528.874290656
Belgien;Wind;78481466.2191126;87900958.14311513;92848798.73742947;98311998.00170982;103775197.26599015;109238396.53027049;114105377.7952172;118972359.06016389;123839340.32511057;128706321.59005727;133573302.85500397;137066167.95839632;140559033.06178865;144051898.16518098;147544763.2685733;151037628.37196568;154530493.475358;158023358.57875037;161516223.6821427;165009088.78553507;168501953.88892737
Kroatien;Biomass;41927.644008834395;46959.87802738652;52390.51633777176;58246.81878412707;64557.775184273494;71354.21017747423;78259.97393407421;85677.9285408905;93642.02867355321;102188.34399812997;111355.18578348056;119980.4128892096;129189.77474105293;139020.1217458575;149510.52901428993;160702.42670520092;172639.73784266732;185369.0240271174;198939.63948540573;213403.8939294552;228817.22471919603
Kroatien;Geothermal;0.0;0.0;0.0;0.0;0.0;11704.722168411297;12837.52212416225;14054.340270067269;15360.746425252386;16762.657345280844;18266.35749124902;19681.212853825506;21191.88785893152;22804.427332413576;24525.241033596503;26361.12503656669;28319.28433724991;30407.35675541002;32633.438204543032;35006.1094067008;37534.464133563015
