Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;0.0;0.0;0.0;0.0;0.0;75260.01913988664;82543.7927420969;90367.79365667849;98767.83518086297;107781.9613733242;117450.5805970794;126547.93806832732;136261.40483520733;146629.84843360455;157694.48287975346;169499.00614943323;182089.74553888163;195515.81135190124;209829.25938237563;225085.26268751768;241342.29317471804
Österreich;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Hydro;3586595.1937818592;4017065.037046166;4481615.37665245;4982578.087626746;5522433.0312568415;6103817.02403088;6694553.271781782;7329103.601747696;8010372.581530749;8741445.700287735;9525600.199466595;10263423.628709763;11051215.400378577;11892127.790142506;12789503.380381877;13746886.21016983;14768033.56448562;15856928.438707568;17017792.7164405;18255101.10084995;19573595.841909245
Österreich;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Solar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Wind;126305.26135284969;141464.65434826823;157824.22348984654;175466.08790971196;194477.57821283935;214951.5523265052;235754.87473438028;258101.1505022267;282092.66666002176;307838.0815573408;335452.8062777416;361435.9395915822;389178.7542211126;418792.26046461693;450394.170446919;484109.29077628977;520069.9377124802;558416.376115349;599297.2835142234;642870.240712697;689302.2504222324
Belgien;Biomass;2324746.273235727;2603766.65602218;2904877.211404189;3229589.405684343;3579510.6263640025;3956349.995597417;4339251.275564863;4750551.808540062;5192134.266623866;5289116.790061156;5489122.757190988;5632660.162623282;5776197.568055574;5919734.973487868;6063272.378920161;6206809.784352453;6350347.189784747;6493884.59521704;6637422.000649333;6780959.406081626;6924496.811513919
Belgien;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Hydro;381822.8845315487;427649.9791375921;477105.2259929109;530436.8725859176;587908.9207732427;649802.0815978355;712690.8677381405;780244.0272884815;852770.7756245108;930599.5887259222;1014079.3561984135;1092626.795986713;1176493.7813633466;1266015.8982876767;1361548.9924510315;1463470.3562850025;1572179.984021243;1688101.8986403947;1811685.5547614086;1943407.3217479235;2083772.051546186
Belgien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
