Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;0.0;0.0;0.0;0.0;0.0;150520.0382797733;165087.5854841938;180735.58731335698;197535.67036172593;215563.9227466484;234901.1611941588;253095.87613665464;272522.80967041466;293259.6968672091;315388.9657595069;338998.01229886647;364179.49107776326;391031.6227038025;419658.51876475126;450170.52537503536;482684.5863494361
Österreich;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Hydro;7173190.3875637185;8034130.074092332;8963230.7533049;9965156.175253492;11044866.062513683;12207634.04806176;13389106.543563563;14658207.203495393;16020745.163061498;17482891.40057547;19051200.39893319;20526847.257419527;22102430.800757155;23784255.580285013;25579006.760763753;27493772.42033966;29536067.12897124;31713856.877415136;34035585.432881;36510202.2016999;39147191.68381849
Österreich;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Solar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Wind;252610.52270569938;282929.30869653646;315648.4469796931;350932.1758194239;388955.1564256787;429903.1046530104;471509.74946876056;516202.3010044534;564185.3333200435;615676.1631146816;670905.6125554832;722871.8791831644;778357.5084422252;837584.5209292339;900788.340893838;968218.5815525795;1040139.8754249604;1116832.752230698;1198594.5670284468;1285740.481425394;1378604.5008444649
Belgien;Biomass;4649492.546471454;5207533.31204436;5809754.422808378;6459178.811368686;7159021.252728005;7912699.991194834;8678502.551129727;9501103.617080124;10384268.533247732;10578233.580122313;10978245.514381977;11265320.325246563;11552395.136111148;11839469.946975736;12126544.757840322;12413619.568704907;12700694.379569493;12987769.19043408;13274844.001298666;13561918.812163252;13848993.623027839
Belgien;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Hydro;763645.7690630974;855299.9582751842;954210.4519858218;1060873.7451718352;1175817.8415464854;1299604.163195671;1425381.735476281;1560488.054576963;1705541.5512490217;1861199.1774518443;2028158.712396827;2185253.591973426;2352987.562726693;2532031.7965753535;2723097.984902063;2926940.712570005;3144359.968042486;3376203.7972807894;3623371.109522817;3886814.643495847;4167544.103092372
Belgien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Solar;830520.0311272513;930200.5939761178;1037772.9130320529;1153776.9625086412;1278786.9846503083;1413413.5665998706;1550205.7776976458;1697143.675988699;1854899.8496646134;2024188.7815181476;2205769.3569328734;2376621.4058297863;2559044.236224058;2753767.796143182;2961566.1014636587;3183259.817825826;3419718.9905705503;3671865.9310451816;3940678.2680908507;4227192.174013473;4532505.774858131
Belgien;Wind;15696293.243822522;17580191.628623027;18569759.747485895;19662399.600341965;20755039.45319803;21847679.3060541;22821075.559043437;23794471.812032778;24767868.065022115;25741264.318011455;26714660.571000792;27413233.59167926;28111806.61235773;28810379.6330362;29508952.653714668;30207525.674393136;30906098.695071604;31604671.715750072;32303244.73642854;33001817.757107012;33700390.77778548
Kroatien;Biomass;8385.528801766879;9391.975605477304;10478.103267554352;11649.363756825414;12911.5550368547;14270.842035494847;15651.994786814841;17135.5857081781;18728.405734710646;20437.668799625997;22271.03715669611;23996.082577841924;25837.954948210583;27804.0243491715;29902.10580285799;32140.48534104019;34527.94756853346;37073.804805423475;39787.92789708115;42680.77878589104;45763.444943839204
Kroatien;Geothermal;0.0;0.0;0.0;0.0;0.0;2340.94443368226;2567.5044248324502;2810.8680540134537;3072.149285050477;3352.5314690561686;3653.2714982498037;3936.2425707651014;4238.377571786304;4560.885466482715;4905.048206719301;5272.225007313338;5663.856867449981;6081.471351082004;6526.687640908606;7001.221881340161;7506.892826712602
Kroatien;Hydro;3338365.9482831857;3739042.854617034;4171441.5367135587;4637732.479883193;4683849.926451738;4930429.129829236;5150098.284313547;5369767.438797857;5589436.593282168;5809105.747766478;6028774.902250788;6186423.901131484;6344072.900012179;6501721.898892875;6659370.897773571;6817019.896654267;6974668.895534962;7132317.894415659;7289966.893296355;7447615.89217705;7605264.8910577465
Kroatien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kroatien;Solar;0.0;0.0;0.0;0.0;0.0;5195.545657188147;5698.378087200762;6238.504896071669;6818.398440611664;7440.6850773654805;8108.154381693149;8736.186856861365;9406.752193592167;10122.533596853902;10886.376259957826;11701.296855380007;12570.493569694512;13497.356713302017;14485.479937346041;15538.672092011206;16660.969762299523
Kroatien;Wind;429182.1718137227;480693.41639264603;536282.8299999273;596229.4514269552;660830.027921686;730400.0884373225;801089.2663569207;877021.3618473853;958543.9437210041;1046026.2303773663;1139860.3858400623;1228150.4338294845;1322419.8356532485;1423045.8015748155;1439380.7249761438;1473455.5548337994;1507530.3846914554;1541605.2145491112;1575680.0444067672;1609754.8742644228;1643829.7041220788
Zypern;Biomass;0.0;0.0;0.0;0.0;0.0;16059.325756809674;17613.5705517695;19283.09151183328;21075.530641524016;22999.005955404242;25062.139974068687;27003.375557404954;29076.07934913968;31288.545081154367;33649.56718799767;36168.47014282243;38855.13947515966;41720.05456537355;44774.32331592095;48029.71880510963;51498.71803492739
Zypern;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Hydro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Solar;0.0;0.0;0.0;0.0;0.0;83440.56682580376;91516.06567559273;100190.51299329608;109503.61487858077;119497.5506699107;130217.12100317719;140303.33507398368;151072.6277493628;162568.09135459492;174835.41975097684;187923.0607586105;201882.37731763002;216767.81788065494;232637.09655668834;249551.38355562344;267575.5065130603
Zypern;Wind;1196786.7257927344;1224486.3181070879;1301039.1230604881;1377591.928013889;1454144.7329672896;1530697.5379206904;1598895.8681414716;1667094.198362253;1735292.5285830342;1803490.8588038157;1871689.1890245967;1920632.785634148;1969576.3822436994;2018519.9788532504;2067463.5754628016;2116407.172072353;2165350.768681904;2214294.3652914553;2263237.9619010068;2312181.5585105577;2361125.1551201087
Tschechien;Biomass;6186017.340898346;6928474.677534359;7729712.704481725;8593753.34742999;9524873.772911882;10527621.857573386;11546500.3412171;12640947.618581252;13815973.37282878;15076899.333454605;16429377.956710938;17701946.585513078;19060698.63230365;19358574.300793435;19827966.856448166;20297359.412102893;20766751.967757627;21236144.523412358;21705537.079067085;22174929.63472182;22644322.190376546
Tschechien;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tschechien;Hydro;6548603.96838082;7334579.628181016;8182781.344040282;9097466.78241502;10083163.811267132;11144686.87604842;12223285.805471743;13381882.910647279;14625781.511826685;15960615.265847415;17392367.941490654;18739526.78592422;20177920.594947413;21713304.967908118;23351782.97667753;25099825.523904104;24784509.356034465;25344715.60327717;25904921.85051988;26465128.097762585;27025334.345005292
Tschechien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
